,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
867,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Tema,-0.050088216,5.69031477,356,373.4296296,135
868,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Kadjebi,0.496497512,7.721589088,241,273.22,50
869,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Offinso,-1.890868545,7.34876442,238,263.34,200
870,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,309,329.1555556,45
871,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Edina/Komenda/Eguafo,-1.437419772,5.140793324,269,294.98,50
872,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Birim South (Akim Oda),-0.969164491,5.864167213,288,311,35
873,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Cape Coast Municipal,-1.306593895,5.153656006,202,258.375,80
874,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Juaboso Bia (Juaboso),-2.926683426,6.359212875,214,243.4736842,38
875,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Kpando,0.267385125,6.89685154,226,257.85,40
876,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Bibiani/Anhwiaso/Bekwai (Bibiani),-2.223546028,6.259892464,266,288.1555556,45
877,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Kpando,0.267385125,6.89685154,226,257.85,40
878,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,East Gonja (Salaga),-0.5339396,8.729157448,239,268.7,50
879,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Wenchi,-1.944841981,7.677614689,292,311.7111111,45
880,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Bawku East (Bawku),-0.18813774,11.03635216,207,239.4222222,90
881,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Kadjebi,0.496497512,7.721589088,241,273.22,50
882,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Hohoe,0.466238558,7.030594826,217,234,4
883,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Wenchi,-1.944841981,7.677614689,292,311.7111111,45
884,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357,272,297.2916667,120
885,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Technical,Ajumako/Enyan/Essiam (Ajumako),-1.005384564,5.401724815,206,236.3,40
886,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,Afigya Sekyere (Agona),-1.548614264,7.00199604,259,283.6,60
887,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418,377,395.1153846,78
888,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Sekyere West (Mampong),-1.180076838,7.199564934,324,351.48,50
889,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Ahafo Ano South (Mankranso),-1.98917222,6.928771496,231,257.8333333,60
890,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,New Juaben (Koforidua),-0.297512323,6.112612724,336,352.7333333,45
891,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Tema,-0.050088216,5.69031477,278,306.7083333,120
892,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Cape Coast Municipal,-1.306593895,5.153656006,356,375.925,40
893,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515,240,270.18,50
894,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Agriculture,East Gonja (Salaga),-0.5339396,8.729157448,239,268.7,50
